,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
1279,011746.OF,南方誉浦一年持有A,南方基金,浦发银行,混合型,20210429,,,20210417,,25.8566,0.7,0.2,,1.0,0.0001,,中债综合指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210727,,O
1280,011733.OF,银华瑞祥一年持有,银华基金,中国农业银行,混合型,20210429,,,20210416,,7.5142,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210726,,O
1281,010374.OF,西部利得聚兴一年定开C,西部利得基金,中国光大银行,混合型,20210429,,,20210322,,0.7442,0.8,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
1282,010987.OF,中融鑫锐研究精选一年持有A,中融基金,兴业银行,混合型,20210429,,,20210324,,1.7218,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210629,,O
1283,010919.OF,鹏华招润一年持有A,鹏华基金,招商银行,混合型,20210429,,,20210407,,5.0371,0.6,0.15,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210728,,O
1284,012118.OF,兴全恒裕C,兴证全球基金,兴业银行,债券型,20210429,,,,,,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20210429,20210429,O
1285,010920.OF,鹏华招润一年持有C,鹏华基金,招商银行,混合型,20210429,,,20210407,,2.6408,0.6,0.15,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210728,,O
1286,011297.OF,汇添富优势行业一年定开C,汇添富基金,北京银行,混合型,20210429,,,20210419,,0.2805,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,,,O
1287,011928.OF,博时汇誉回报C,博时基金,中国建设银行,混合型,20210429,,,20210421,,0.6947,1.5,0.25,,1.0,0.001,,沪深300指数收益率*45%+中债综合财富(总值)指数收益率*40%+中证港股通综合指数收益率*15%,L,灵活配置型,契约型开放式,,20210729,20210729,O
1288,011199.OF,交银鑫选回报C,交银施罗德基金,中国邮政储蓄银行,混合型,20210429,,,20210315,,1.9507,0.6,0.1,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210510,20210510,O
1289,011198.OF,交银鑫选回报A,交银施罗德基金,中国邮政储蓄银行,混合型,20210429,,,20210315,,2.4008,0.6,0.1,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210510,20210510,O
1290,012117.OF,中银证券创业板ETF联接C,中银证券,中国工商银行,股票型,20210429,,,20210423,,0.0113,0.15,0.05,,1.0,0.001,,创业板指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210602,20210602,O
1291,011296.OF,汇添富优势行业一年定开A,汇添富基金,北京银行,混合型,20210429,,,20210419,,20.2705,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,,,O
1292,011927.OF,博时汇誉回报A,博时基金,中国建设银行,混合型,20210429,,,20210421,,2.5109,1.5,0.25,,1.0,0.001,,沪深300指数收益率*45%+中债综合财富(总值)指数收益率*40%+中证港股通综合指数收益率*15%,L,灵活配置型,契约型开放式,,20210729,20210729,O
1293,010373.OF,西部利得聚兴一年定开A,西部利得基金,中国光大银行,混合型,20210429,,,20210322,,1.7078,0.8,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
1294,011747.OF,南方誉浦一年持有C,南方基金,浦发银行,混合型,20210429,,,20210417,,2.5411,0.7,0.2,,1.0,0.0001,,中债综合指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210727,,O
1295,010492.OF,大摩中债1-3年农发行债,摩根士丹利华鑫基金,浙商银行,债券型,20210428,20210826,,20210409,,5.004,0.15,0.05,,1.0,0.0001,,中债1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20210531,20210531,O
1296,011505.OF,上银丰益C,上银基金,兴业银行,混合型,20210428,,,20210205,,2.0076,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210531,20210531,O
1297,011500.OF,九泰量化新兴产业,九泰基金,宁波银行,混合型,20210428,,,20210329,,2.2311,1.5,0.15,,1.0,0.001,,中证新兴产业指数收益率*70%+中债综合指数(全价)收益率*30%,L,混合型,契约型开放式,,20210528,20210528,O
1298,012104.OF,永赢货币E,永赢基金,中国建设银行,货币市场型,20210428,,,,,,0.2,0.05,,1.0,,,同期7天通知存款利率(税后),L,货币型,契约型开放式,,20210428,20210428,O
1299,010647.OF,融通价值趋势C,融通基金,招商银行,混合型,20210428,,,20210329,,1.6815,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*55%+中证香港100指数收益率*20%+中债综合全价(总值)指数收益率*20%+中国战略新兴产业成份指数收益率*5%,L,混合型,契约型开放式,,20210527,20210527,O
1300,010834.OF,国泰同益18个月持有A,国泰基金,招商银行,混合型,20210428,,,20210406,,1.3486,1.0,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210607,20221031,O
1301,010835.OF,国泰同益18个月持有C,国泰基金,招商银行,混合型,20210428,,,20210406,,0.8636,1.0,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210607,20221031,O
1302,011504.OF,上银丰益A,上银基金,兴业银行,混合型,20210428,,,20210205,,0.0632,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210531,20210531,O
1303,010646.OF,融通价值趋势A,融通基金,招商银行,混合型,20210428,,,20210329,,0.7866,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*55%+中证香港100指数收益率*20%+中债综合全价(总值)指数收益率*20%+中国战略新兴产业成份指数收益率*5%,L,混合型,契约型开放式,,20210527,20210527,O
1304,010625.OF,富国稳健增长C,富国基金,中国建设银行,混合型,20210428,,,20210406,,2.177,1.5,0.25,,1.0,0.001,,沪深300指数收益率*65%+中债综合全价指数收益率*25%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20210628,20210628,O
1305,012105.OF,永赢天天利E,永赢基金,兴业银行,货币市场型,20210428,,,,,,0.2,0.05,,1.0,,,同期7天通知存款利率(税后),L,货币型,契约型开放式,,20210428,20210428,O
1306,011944.OF,招商金融债3个月定开,招商基金,兴业银行,债券型,20210428,,,20210406,,141.9902,0.3,0.1,,1.0,0.0001,,中债-金融债券总全价(总值)指数收益率,L,债券型,契约型开放式,,20210728,20210728,O
1307,010624.OF,富国稳健增长A,富国基金,中国建设银行,混合型,20210428,,,20210406,,12.6601,1.5,0.25,,1.0,0.001,,沪深300指数收益率*65%+中债综合全价指数收益率*25%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20210628,20210628,O
1308,011233.OF,泰康福泰平衡养老FOF,泰康资产,招商银行,混合型,20210428,,,20210406,,10.9436,0.8,0.2,,1.0,0.0001,,沪深300指数收益率*50%+中债新综合全价(总值)指数收益率*45%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210709,20240429,O
1309,011800.OF,申万菱信价值精选,申万菱信基金,中国农业银行,混合型,20210427,,,20210407,,4.7794,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210527,20210527,O
1310,011701.OF,南方均衡回报C,南方基金,交通银行,混合型,20210427,,,20210406,,0.8228,1.0,0.2,,1.0,0.0001,,上证国债指数收益率*50%+沪深300指数收益率*40%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210726,20210726,O
1311,011534.OF,万家民瑞祥明6个月持有A,万家基金,中国民生银行,混合型,20210427,,,20210412,,6.1601,0.8,0.15,,1.0,0.001,,中债新综合指数(全价)收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210726,,O
1312,011535.OF,万家民瑞祥明6个月持有C,万家基金,中国民生银行,混合型,20210427,,,20210412,,0.8733,0.8,0.15,,1.0,0.001,,中债新综合指数(全价)收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210726,,O
1313,011698.OF,南方均衡回报A,南方基金,交通银行,混合型,20210427,,,20210406,,11.2128,1.0,0.2,,1.0,0.0001,,上证国债指数收益率*50%+沪深300指数收益率*40%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210726,20210726,O
1314,011753.OF,广发核心优选六个月持有C,广发基金,中国民生银行,混合型,20210427,,,20210421,,7.9396,1.0,0.2,,1.0,0.0001,,中证800指数收益率*50%+中债-综合全价(总值)指数收益率*50%,L,混合型,契约型开放式,,20210527,,O
1315,011506.OF,建信高端装备A,建信基金,光大证券,股票型,20210427,,,20210412,,2.3606,1.5,0.25,,1.0,0.001,,中证高端装备制造指数收益率*75%+中证全债指数收益率*15%+中证港股通综合指数收益率*10%,L,股票型,契约型开放式,,20210719,20210719,O
1316,011779.OF,易方达稳泰一年持有A,易方达基金,中国建设银行,混合型,20210427,,,20210408,,8.9832,0.55,0.1,,1.0,0.0001,,中债新综合指数(财富)收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,20210506,,O
1317,011777.OF,易方达稳健增长A,易方达基金,中国银行,混合型,20210427,,,20210401,,19.8996,1.2,0.25,,1.0,0.0001,,中债总指数收益率*60%+沪深300指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210706,20210706,O
1318,011507.OF,建信高端装备C,建信基金,光大证券,股票型,20210427,,,20210412,,0.5577,1.5,0.25,,1.0,0.001,,中证高端装备制造指数收益率*75%+中证全债指数收益率*15%+中证港股通综合指数收益率*10%,L,股票型,契约型开放式,,20210719,20210719,O
1319,011778.OF,易方达稳健增长C,易方达基金,中国银行,混合型,20210427,,,20210401,,1.0302,1.2,0.25,,1.0,0.0001,,中债总指数收益率*60%+沪深300指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210706,20210706,O
1320,011518.OF,嘉实价值臻选,嘉实基金,宁波银行,混合型,20210427,,,20210412,,44.1606,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,20210726,20210726,O
1321,011338.OF,兴全合远两年持有A,兴证全球基金,招商银行,混合型,20210427,,,20210419,,38.5565,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20210720,,O
1322,011339.OF,兴全合远两年持有C,兴证全球基金,招商银行,混合型,20210427,,,20210419,,1.7644,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20210720,,O
1323,011752.OF,广发核心优选六个月持有A,广发基金,中国民生银行,混合型,20210427,,,20210421,,61.7616,1.0,0.2,,1.0,0.0001,,中证800指数收益率*50%+中债-综合全价(总值)指数收益率*50%,L,混合型,契约型开放式,,20210527,,O
1324,010921.OF,民生加银润利,民生加银基金,渤海银行,混合型,20210427,,,20210125,,2.0452,0.6,0.1,,1.0,0.001,,中债总指数收益率*80%+沪深300指数收益率*15%+一年期定期存款基准利率(税后)*5%,L,混合型,契约型开放式,,20210526,20210526,O
1325,010576.OF,民生加银兴利,民生加银基金,北京银行,混合型,20210427,,,20210125,,2.102,0.6,0.1,,1.0,0.001,,中债总指数收益率*60%+一年期定期存款基准利率(税后)*25%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20210526,20210526,O
1326,011780.OF,易方达稳泰一年持有C,易方达基金,中国建设银行,混合型,20210427,,,20210408,,0.4391,0.55,0.1,,1.0,0.0001,,中债新综合指数(财富)收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,20210506,,O
1327,011443.OF,创金合信鑫瑞C,创金合信基金,华夏银行,混合型,20210426,,,20210205,,2.0516,0.8,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210526,20210526,O
1328,011933.OF,工银瑞信战略远见C,工银瑞信基金,招商银行,混合型,20210426,,,20210408,,6.6692,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210521,20210521,O
1329,011442.OF,创金合信鑫瑞A,创金合信基金,华夏银行,混合型,20210426,,,20210205,,0.0022,0.8,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210526,20210526,O
1330,970025.OF,华安证券聚赢一年持有B,华安证券,兴业银行,债券型,20210426,,,20210426,,,0.6,0.08,,1.0,,,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20210427,20210427,O
1331,011932.OF,工银瑞信战略远见A,工银瑞信基金,招商银行,混合型,20210426,,,20210408,,60.4426,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210521,20210521,O
1332,970024.OF,华安证券聚赢一年持有A,华安证券,兴业银行,债券型,20210426,,,20210426,,,0.0,0.08,,1.0,,,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,20210427,O
1333,012135.OF,鹏华安裕5个月持有C,鹏华基金,浦发银行,混合型,20210423,,,,,,0.5,0.1,,1.0,,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,,20210705,O
1334,011054.OF,申万菱信安鑫智选A,申万菱信基金,南京银行,混合型,20210423,,,20210323,,0.0002,0.6,0.2,,1.0,0.0001,,中债综合指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20210524,20210524,O
1335,011281.OF,华宝双债增强C,华宝基金,中国工商银行,债券型,20210423,,,20210408,,0.7356,0.7,0.15,,1.0,0.0001,,中证综合债指数收益率*50%+中证可转换债券指数收益率*40%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20210722,20210722,O
1336,012115.OF,招商招丰纯债D,招商基金,恒丰银行,债券型,20210423,,,,,,0.3,0.1,,1.0,,,中债综合指数收益率,L,债券型,契约型开放式,,20210423,20210423,O
1337,011999.OF,富国安泰90天短债A,富国基金,交通银行,债券型,20210423,,,20210412,,1.1596,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210513,20210722,O
1338,011280.OF,华宝双债增强A,华宝基金,中国工商银行,债券型,20210423,,,20210408,,6.1762,0.7,0.15,,1.0,0.0001,,中证综合债指数收益率*50%+中证可转换债券指数收益率*40%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20210722,20210722,O
1339,012000.OF,富国安泰90天短债C,富国基金,交通银行,债券型,20210423,,,20210412,,0.985,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210513,20210722,O
1340,011055.OF,申万菱信安鑫智选C,申万菱信基金,南京银行,混合型,20210423,,,20210323,,2.0801,0.6,0.2,,1.0,0.0001,,中债综合指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20210524,20210524,O
1341,010941.OF,大成安享得利六个月持有C,大成基金,中国农业银行,混合型,20210422,,,20210406,,0.1222,0.5,0.1,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210719,20211022,O
1342,011327.OF,太平丰盈一年定开,太平基金,浦发银行,债券型,20210422,,,20210202,,55.1,0.35,0.08,,1.0,,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
1343,011864.OF,博时恒泰A,博时基金,中国工商银行,债券型,20210422,,,20210407,,6.0766,0.6,0.15,,1.0,0.001,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+恒生综合指数收益率*5%,L,债券型,契约型开放式,,20210722,20210722,O
1344,010940.OF,大成安享得利六个月持有A,大成基金,中国农业银行,混合型,20210422,,,20210406,,3.0277,0.5,0.1,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210719,20211022,O
1345,011865.OF,博时恒泰C,博时基金,中国工商银行,债券型,20210422,,,20210407,,0.3529,0.6,0.15,,1.0,0.001,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+恒生综合指数收益率*5%,L,债券型,契约型开放式,,20210722,20210722,O
1346,012063.OF,天弘中债1-5年政策金融债,天弘基金,杭州银行,债券型,20210422,,,20210420,,0.1,0.15,0.05,,1.0,0.001,,中债-1-5年政策性金融债全价(总值)指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210531,20210531,O
1347,011851.OF,天弘先进制造A,天弘基金,中国农业银行,混合型,20210422,,,20210401,,5.7458,1.5,0.25,,1.0,0.001,,申银万国制造业指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210720,20210720,O
1348,011852.OF,天弘先进制造C,天弘基金,中国农业银行,混合型,20210422,,,20210401,,0.2521,1.5,0.25,,1.0,0.001,,申银万国制造业指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210720,20210720,O
1349,011929.OF,申万菱信安泰稳利纯债一年定开,申万菱信基金,杭州银行,债券型,20210422,,,20210408,,30.0,0.3,0.15,,1.0,,,中国债券总指数(全价)收益率,L,债券型,契约型开放式,,,,O
1350,910021.OF,东方红启华三年持有A,东证资管,招商银行,混合型,20210422,,,20210422,,,0.8,0.25,,1.0,,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(经汇率估值调整)*10%,L,混合型,契约型开放式,,,20210422,O
1351,012136.OF,景顺长城景泰鑫利纯债C,景顺长城基金,交通银行,债券型,20210422,,,,,,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20210422,20210422,O
1352,011182.OF,长盛成长龙头C,长盛基金,中国农业银行,混合型,20210421,,,20210310,,0.3918,1.5,0.25,,1.0,0.0001,,中证800成长指数收益率*70%+中证综合债指数收益率*20%+恒生综合指数收益率*10%,L,混合型,契约型开放式,,20210716,20210716,O
1353,011181.OF,长盛成长龙头A,长盛基金,中国农业银行,混合型,20210421,,,20210310,,2.2329,1.5,0.25,,1.0,0.0001,,中证800成长指数收益率*70%+中证综合债指数收益率*20%+恒生综合指数收益率*10%,L,混合型,契约型开放式,,20210716,20210716,O
1354,011724.OF,东方红启恒三年持有B,东证资管,中国工商银行,混合型,20210421,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(经汇率估值调整)*10%,L,混合型,契约型开放式,,20210528,,O
1355,011856.OF,安信均衡成长18个月持有A,安信基金,中国农业银行,混合型,20210421,,,20210406,,5.9261,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率(经汇率调整)*10%+人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210719,,O
1356,011695.OF,华泰紫金信息科技6个月定开C,华泰证券资管,交通银行,混合型,20210421,,,20210329,,1.2363,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*60%+中证沪港深互联互通TMT指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,,,O
1357,910004.OF,东方红启恒三年持有A,东证资管,中国工商银行,混合型,20210421,,,20210421,,,0.0,0.25,,1.0,,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(经汇率估值调整)*10%,L,混合型,契约型开放式,,,20210421,O
1358,011694.OF,华泰紫金信息科技6个月定开A,华泰证券资管,交通银行,混合型,20210421,,,20210329,,2.7626,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*60%+中证沪港深互联互通TMT指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,,,O
1359,011857.OF,安信均衡成长18个月持有C,安信基金,中国农业银行,混合型,20210421,,,20210406,,0.3246,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率(经汇率调整)*10%+人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210719,,O
1360,011783.OF,泓德睿源三年持有,泓德基金,招商银行,混合型,20210421,,,20210413,,46.0959,1.5,0.25,,1.0,0.01,,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,L,灵活配置型,契约型开放式,,20210708,,O
1361,010897.OF,太平价值增长C,太平基金,中信银行,股票型,20210421,,,20210315,,1.9262,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,,20210521,20210521,O
1362,010896.OF,太平价值增长A,太平基金,中信银行,股票型,20210421,,,20210315,,0.2634,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,,20210521,20210521,O
1363,011450.OF,招商企业优选A,招商基金,浦发银行,混合型,20210420,,,20210406,,20.3925,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210702,20210702,O
1364,011696.OF,南方浩睿进取京选3个月持有A,南方基金,招商银行,混合型,20210420,,,20210407,,10.9569,1.0,0.2,,1.0,0.0001,,万得偏股混合型基金指数收益率*90%+上证国债指数收益率*10%,L,混合型,契约型开放式,,20210520,20210720,O
1365,011697.OF,南方浩睿进取京选3个月持有C,南方基金,招商银行,混合型,20210420,,,20210407,,0.2316,1.0,0.2,,1.0,0.0001,,万得偏股混合型基金指数收益率*90%+上证国债指数收益率*10%,L,混合型,契约型开放式,,20210520,20210720,O
1366,011451.OF,招商企业优选C,招商基金,浦发银行,混合型,20210420,,,20210406,,1.1666,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210702,20210702,O
1367,010971.OF,华夏永鑫六个月持有A,华夏基金,中国农业银行,混合型,20210420,,,20210401,,9.7273,0.5,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210513,,O
1368,010692.OF,华夏核心价值A,华夏基金,中国民生银行,混合型,20210420,,,20210406,,3.6974,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210624,20210624,O
1369,011295.OF,信诚量化阿尔法C,中信保诚基金,中国建设银行,股票型,20210420,,,,,,1.0,0.25,,1.0,,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,20210420,20210420,O
1370,011684.OF,平安养老2045五年,平安基金,平安银行,混合型,20210420,,,20210309,,0.1291,0.6,0.12,,1.0,0.001,,中证平安2045退休宝指数收益率*95%+同期银行活期存款利率*5%,L,混合型,契约型开放式,,20210520,20260420,O
1371,011290.OF,前海联合添瑞一年持有A,新疆前海联合基金,中国邮政储蓄银行,混合型,20210420,,,20210222,,2.0093,0.8,0.2,,1.0,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210715,20220420,O
1372,011741.OF,博时成长精选C,博时基金,中信银行,混合型,20210420,,,20210413,,3.5294,1.5,0.25,,1.0,0.001,,中证800指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210720,20210720,O
1373,011740.OF,博时成长精选A,博时基金,中信银行,混合型,20210420,,,20210413,,12.3903,1.5,0.25,,1.0,0.001,,中证800指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210720,20210720,O
1374,010693.OF,华夏核心价值C,华夏基金,中国民生银行,混合型,20210420,,,20210406,,1.1209,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210624,20210624,O
1375,011171.OF,宝盈智慧生活C,宝盈基金,招商银行,混合型,20210420,,,20210318,,1.407,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+商业银行人民币活期存款利率(税后)*20%,L,混合型,契约型开放式,,20210520,20210520,O
1376,010092.OF,永赢华嘉信用债,永赢基金,上海银行,债券型,20210420,,,20210208,,2.5296,0.3,0.05,,1.0,0.001,,中债-信用债总指数(财富)收益率,L,债券型,契约型开放式,,20210426,20210426,O
1377,011195.OF,广发睿铭两年持有C,广发基金,中国光大银行,混合型,20210420,,,20210407,,8.286,1.5,0.2,,1.0,0.0001,,沪深300指数收益率*40%+中证全债指数收益率*40%+人民币计价的恒生指数收益率*20%,L,混合型,契约型开放式,,20210520,,O
1378,011170.OF,宝盈智慧生活A,宝盈基金,招商银行,混合型,20210420,,,20210318,,1.5832,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+商业银行人民币活期存款利率(税后)*20%,L,混合型,契约型开放式,,20210520,20210520,O
1379,011291.OF,前海联合添瑞一年持有C,新疆前海联合基金,中国邮政储蓄银行,混合型,20210420,,,20210222,,0.1926,0.8,0.2,,1.0,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210715,20220420,O
1380,011194.OF,广发睿铭两年持有A,广发基金,中国光大银行,混合型,20210420,,,20210407,,13.9378,1.5,0.2,,1.0,0.0001,,沪深300指数收益率*40%+中证全债指数收益率*40%+人民币计价的恒生指数收益率*20%,L,混合型,契约型开放式,,20210520,,O
1381,010972.OF,华夏永鑫六个月持有C,华夏基金,中国农业银行,混合型,20210420,,,20210401,,0.6906,0.5,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210513,,O
1382,012007.OF,万家瑞富C,万家基金,上海银行,混合型,20210419,,,,,,0.6,0.15,,1.0,,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,,,O
